teks,entitas
"Menteri Keuangan RI, Shah Rukh Khan, meresmikan acara tersebut.","[{""start"": 21, ""end"": 35, ""label"": ""PER""}]"
"KANTOR KAMI BERALAMAT DI GANG CEMARA, RT 11/RW 11, KEL. TEGALSARI, KEC. TEGALSARI, PALEMBANG, BALI, 66889.","[{""start"": 25, ""end"": 105, ""label"": ""ADR""}]"
Rapat dewan direksi besok akan dipimpin oleh Michael Phelps.,"[{""start"": 45, ""end"": 59, ""label"": ""PER""}]"
Pramoedya Ananta Toer dan Joe Taslim kompak hadir dalam acara itu.,"[{""start"": 0, ""end"": 21, ""label"": ""PER""}, {""start"": 26, ""end"": 36, ""label"": ""PER""}]"
Kantor pusatnya berlokasi di PBB.,[]
"Nama: Yasonna Laoly, Alamat: Gang Basuki Rahmat, Depok.","[{""start"": 6, ""end"": 19, ""label"": ""PER""}, {""start"": 29, ""end"": 54, ""label"": ""ADR""}]"
"Rumah kost berada di Dusun Krajan RT 05/RW 15, Kel. Antapani, Kec. Sukasari, Kab. Cirebon.","[{""start"": 21, ""end"": 89, ""label"": ""ADR""}]"
Atlet hadir dalam acara itu belum dikonfirmasi panitia.,[]
Surat dari Michael McDonald membahas rencana terkait Korea.,"[{""start"": 11, ""end"": 27, ""label"": ""PER""}]"
Ahmad Dahlan bekerja di Surabaya.,"[{""start"": 0, ""end"": 12, ""label"": ""PER""}]"
Kemarin Cristiano Ronaldo membahas Yayasan Ahmad Dahlan bersama timnya.,"[{""start"": 8, ""end"": 25, ""label"": ""PER""}]"
"Menurut Steve Jobs dan Dian Sastrowardoyo, kebijakan ini perlu direvisi.","[{""start"": 8, ""end"": 18, ""label"": ""PER""}, {""start"": 23, ""end"": 41, ""label"": ""PER""}]"
"Nama: Sari, Alamat: Jalan Ahmad Dahlan No. 143A, RT 04/RW 15, Kel. Cihapit, Kec. Sukasari, Denpasar, Jawa Tengah, 78149.","[{""start"": 6, ""end"": 10, ""label"": ""PER""}, {""start"": 20, ""end"": 119, ""label"": ""ADR""}]"
"Panitia mengundang Rangga Pratama, S.Kom., M.Kom., Gus Miftah, dan Priyanka Chopra sebagai narasumber.","[{""start"": 19, ""end"": 49, ""label"": ""PER""}, {""start"": 51, ""end"": 61, ""label"": ""PER""}, {""start"": 67, ""end"": 82, ""label"": ""PER""}]"
Acara tahunan itu selalu digelar di Sydney.,[]
"MENURUT HAKIM KETUA SRI SULTAN HAMENGKUBUWONO X, KEBIJAKAN INI AKAN SEGERA DIREVISI.","[{""start"": 20, ""end"": 47, ""label"": ""PER""}]"
"KTP ATAS NAMA GUS MIFTAH BERALAMAT DI JL. MERDEKA NO. 191, RT 09/RW 20, DESA CIBOGO, KEC. SUKASARI, BALIKPAPAN, JAWA BARAT, 49256.","[{""start"": 14, ""end"": 24, ""label"": ""PER""}, {""start"": 38, ""end"": 129, ""label"": ""ADR""}]"
Bunga hadir dalam acara itu belum dikonfirmasi panitia.,[]
"Menurut Jaksa Agung O'Brien, kebijakan ini akan segera direvisi.","[{""start"": 20, ""end"": 27, ""label"": ""PER""}]"
Kantor pusatnya berlokasi di RS Siloam.,[]
"Panitia mengundang Prof. Dr. Anies Baswedan, M.P.P., Retno Marsudi, dan Muhammad Hasan Sadikin sebagai narasumber.","[{""start"": 19, ""end"": 51, ""label"": ""PER""}, {""start"": 53, ""end"": 66, ""label"": ""PER""}, {""start"": 72, ""end"": 94, ""label"": ""PER""}]"
@nyoman baru saja mengunggah foto liburannya.,"[{""start"": 1, ""end"": 7, ""label"": ""PER""}]"
"Di antara peserta terdapat Sari, Irfan Hakim, Kamala Harris, dan Barack Obama.","[{""start"": 27, ""end"": 31, ""label"": ""PER""}, {""start"": 33, ""end"": 44, ""label"": ""PER""}, {""start"": 46, ""end"": 59, ""label"": ""PER""}, {""start"": 65, ""end"": 77, ""label"": ""PER""}]"
"MENURUT REKTOR UNIVERSITAS INDONESIA IMAM BONJOL, KEBIJAKAN INI AKAN SEGERA DIREVISI.","[{""start"": 37, ""end"": 48, ""label"": ""PER""}]"
Acara tahunan itu selalu digelar di Sydney.,[]
@imambonjol baru saja mengunggah foto liburannya.,"[{""start"": 1, ""end"": 11, ""label"": ""PER""}]"
"Nama: Greysia Polii, Alamat: Gg. Cendrawasih, Palembang.","[{""start"": 6, ""end"": 19, ""label"": ""PER""}, {""start"": 29, ""end"": 55, ""label"": ""ADR""}]"
"KTP menunjukkan alamat di Jalan Rajawali No. 187, Bekasi.","[{""start"": 26, ""end"": 56, ""label"": ""ADR""}]"
Direktur Utama Marie Curie menyampaikan pernyataan resmi kemarin.,"[{""start"": 15, ""end"": 26, ""label"": ""PER""}]"
"""INI ADALAH LANGKAH YANG TEPAT,"" TUTUR LEBRON JAMES KEPADA WARTAWAN.","[{""start"": 39, ""end"": 51, ""label"": ""PER""}]"
Fajar mekar dengan indah di taman setiap pagi.,[]
"Paket untuk Jacinda Ardern dikirim ke Gg. Cemara No. 134A, RT 19/RW 07, Kel. Antapani, Kec. Sukasari, Bogor, Kalimantan Timur, 94123.","[{""start"": 12, ""end"": 26, ""label"": ""PER""}, {""start"": 38, ""end"": 132, ""label"": ""ADR""}]"
"Angela Merkel baru saja pindah ke Jalan Rajawali, Surabaya.","[{""start"": 0, ""end"": 13, ""label"": ""PER""}, {""start"": 34, ""end"": 58, ""label"": ""ADR""}]"
"MAHATMA GANDHI BARU SAJA PINDAH KE GANG CEMARA NO. 3A, RT 01/RW 11, KEL. SUKAJADI, MANADO.","[{""start"": 0, ""end"": 14, ""label"": ""PER""}, {""start"": 35, ""end"": 89, ""label"": ""ADR""}]"
"Penerima: Emmanuel Macron, Tujuan: Perumahan Grand Wisata Blok C6 No. 47, Medan","[{""start"": 10, ""end"": 25, ""label"": ""PER""}, {""start"": 35, ""end"": 79, ""label"": ""ADR""}]"
Kami semua diundang untuk hadir dalam acara tersebut.,[]
Pelukis Fajar menyampaikan pernyataan resmi kemarin.,"[{""start"": 8, ""end"": 13, ""label"": ""PER""}]"
IA BARU SAJA PINDAH KE SEOUL.,[]
"""Ini adalah langkah yang tepat,"" tutur Donald Trump kepada wartawan.","[{""start"": 39, ""end"": 51, ""label"": ""PER""}]"
Tolong sampaikan pesan ini kepada Ridwan Kamil secepatnya.,"[{""start"": 34, ""end"": 46, ""label"": ""PER""}]"
"RUMAH BELIAU BERADA DI JALAN MERDEKA NO. 69, BALIKPAPAN.","[{""start"": 23, ""end"": 55, ""label"": ""ADR""}]"
Kepala Sekolah Erick Thohir menyampaikan pernyataan resmi kemarin.,"[{""start"": 15, ""end"": 27, ""label"": ""PER""}]"
Apakah benar Prof. Dr. dr. Zubairi Djoerban akan datang ke konferensi besok?,"[{""start"": 13, ""end"": 43, ""label"": ""PER""}]"
"""Kementerian Keuangan adalah prioritas kita,"" kata Prof. Dr. dr. Zubairi Djoerban.","[{""start"": 51, ""end"": 81, ""label"": ""PER""}]"
CUACA EKSTREM DIPERKIRAKAN LANDA JAKARTA PEKAN INI.,[]
Jangan lupa follow @sudirman untuk info terkini.,"[{""start"": 20, ""end"": 28, ""label"": ""PER""}]"
"Peserta pelatihan meliputi Jefferson, drg. Maya Kusuma, dan Boris Johnson dari kantor cabang.","[{""start"": 27, ""end"": 36, ""label"": ""PER""}, {""start"": 38, ""end"": 54, ""label"": ""PER""}, {""start"": 60, ""end"": 73, ""label"": ""PER""}]"
"Alamat saya di Jalan Cendrawasih No. 155A, RT 04/RW 18, Kel. Tegalsari, Bogor.","[{""start"": 15, ""end"": 77, ""label"": ""ADR""}]"
HARGA BBM RESMI NAIK MULAI BESOK.,[]
Acara tahunan itu selalu digelar di Sumatera Utara.,[]
Pihak kepolisian masih memeriksa Prabowo Subianto sebagai saksi utama.,"[{""start"": 33, ""end"": 49, ""label"": ""PER""}]"
Penghargaan Nobel tahun ini jatuh kepada dr. Reisa Broto Asmoro atas dedikasinya.,"[{""start"": 41, ""end"": 63, ""label"": ""PER""}]"
Atlet mekar dengan indah di taman setiap pagi.,[]
"KTP menunjukkan alamat di Jl. Ahmad Dahlan No. 30, RT 08/RW 20, Kel. Tegalsari, Depok.","[{""start"": 26, ""end"": 85, ""label"": ""ADR""}]"
Kost mulai terlihat sejak dini hari.,[]
Baik Anggun C. Sasmi maupun Jean-Luc Picard belum memberikan komentar.,"[{""start"": 5, ""end"": 20, ""label"": ""PER""}, {""start"": 28, ""end"": 43, ""label"": ""PER""}]"
"RAPAT RT AKAN DIADAKAN DI GANG MANGGA DUA, RT 03/RW 08, DESA SUKAMAJU, SEMARANG.","[{""start"": 26, ""end"": 79, ""label"": ""ADR""}]"
Apakah kamu sudah menghubungi LeBron James hari ini?,"[{""start"": 30, ""end"": 42, ""label"": ""PER""}]"
Rapat membahas PBB akan dilaksanakan besok.,[]
"René Descartes tinggal di Perumahan Grand Wisata Blok F18 No. 45, Denpasar.","[{""start"": 0, ""end"": 14, ""label"": ""PER""}, {""start"": 26, ""end"": 74, ""label"": ""ADR""}]"
Kemarin saya bertemu dengan Sukaryo di stasiun.,"[{""start"": 28, ""end"": 35, ""label"": ""PER""}]"
"Taylor Swift tinggal di Dusun Karangasem RT 14/RW 20, Kel. Antapani, Kec. Gubeng, Kab. Bandung.","[{""start"": 0, ""end"": 12, ""label"": ""PER""}, {""start"": 24, ""end"": 94, ""label"": ""ADR""}]"
"Panitia mengundang Sri Mulyani, Kyai Haji Hasyim Asy'ari, Komang, dan Luhut Binsar Pandjaitan sebagai narasumber.","[{""start"": 19, ""end"": 30, ""label"": ""PER""}, {""start"": 32, ""end"": 56, ""label"": ""PER""}, {""start"": 58, ""end"": 64, ""label"": ""PER""}, {""start"": 70, ""end"": 93, ""label"": ""PER""}]"
"Kartika Sari, Sp.KG, Yoga, serta Guillermo del Toro kompak hadir dalam acara itu.","[{""start"": 0, ""end"": 19, ""label"": ""PER""}, {""start"": 21, ""end"": 25, ""label"": ""PER""}, {""start"": 33, ""end"": 51, ""label"": ""PER""}]"
Keputusan final berada di tangan Dedi Mulyadi selaku manajer proyek.,"[{""start"": 33, ""end"": 45, ""label"": ""PER""}]"
ACARA TAHUNAN ITU SELALU DIGELAR DI YOGYAKARTA.,[]
"NAMA: DIPONEGORO, ALAMAT: 160 OXFORD BOULEVARD, PARIS, 63257, PRANCIS.","[{""start"": 6, ""end"": 16, ""label"": ""PER""}, {""start"": 26, ""end"": 69, ""label"": ""ADR""}]"
Apakah kamu sudah menghubungi Kyai Haji Hasyim Asy'ari hari ini?,"[{""start"": 30, ""end"": 54, ""label"": ""PER""}]"
"Surat untuk Pramoedya Ananta Toer dialamatkan ke Apartemen Taman Anggrek Residence Tower B Lantai 16, Bandung.","[{""start"": 12, ""end"": 33, ""label"": ""PER""}, {""start"": 49, ""end"": 109, ""label"": ""ADR""}]"
"Hakim Ketua, Imam Bonjol, menyampaikan pernyataan resmi kemarin.","[{""start"": 13, ""end"": 24, ""label"": ""PER""}]"
"Rapat dihadiri oleh Komang, Laksamana Muda TNI Sinar Adi, Evry Pramudya, dan Diponegoro sore ini.","[{""start"": 20, ""end"": 26, ""label"": ""PER""}, {""start"": 28, ""end"": 56, ""label"": ""PER""}, {""start"": 58, ""end"": 71, ""label"": ""PER""}, {""start"": 77, ""end"": 87, ""label"": ""PER""}]"
"Sesuai catatan sipil, domisili tercatat di Jl. Anggrek No. 33A, RT 15/RW 07, Kel. Sukajadi, Medan.","[{""start"": 43, ""end"": 97, ""label"": ""ADR""}]"
"Daftar penerima meliputi Simone Biles, Elon Musk, dan Ustadz Abdul Somad dari divisi terkait.","[{""start"": 25, ""end"": 37, ""label"": ""PER""}, {""start"": 39, ""end"": 48, ""label"": ""PER""}, {""start"": 54, ""end"": 72, ""label"": ""PER""}]"
Jangan lupa follow @basukirahmat untuk info terkini.,"[{""start"": 20, ""end"": 32, ""label"": ""PER""}]"
"Yusril Ihza Mahendra, S.H., M.Sc. baru saja pindah ke Jalan Anggrek No. 10B, RT 18/RW 17, Kel. Antapani, Yogyakarta.","[{""start"": 0, ""end"": 33, ""label"": ""PER""}, {""start"": 54, ""end"": 115, ""label"": ""ADR""}]"
Kemarin mobilnya Erick Thohir mogok di jalan tol.,"[{""start"": 17, ""end"": 29, ""label"": ""PER""}]"
"Yang, menurut laporan itu, akan segera diperbarui.",[]
Acara tahunan itu selalu digelar di Tokyo.,[]
"Yang, menurut laporan itu, akan segera diperbarui.",[]
Halo semua diundang untuk hadir dalam acara tersebut.,[]
"KTP ATAS NAMA LISA BERALAMAT DI 930 KENNEDY LANE, TORONTO, K7T 9W3, KANADA.","[{""start"": 14, ""end"": 18, ""label"": ""PER""}, {""start"": 32, ""end"": 74, ""label"": ""ADR""}]"
Penghargaan Nobel tahun ini jatuh kepada Raden Adjeng Kartini atas dedikasinya.,"[{""start"": 41, ""end"": 61, ""label"": ""PER""}]"
Dokumen itu merujuk pada Belanda.,[]
"Surat untuk John Doe dialamatkan ke Gg. Merdeka No. 188A, RT 02/RW 05, Desa Sukamaju, Medan.","[{""start"": 12, ""end"": 20, ""label"": ""PER""}, {""start"": 36, ""end"": 91, ""label"": ""ADR""}]"
"KTP atas nama Yanti beralamat di Gang Mangga Dua No. 14A, Palembang.","[{""start"": 14, ""end"": 19, ""label"": ""PER""}, {""start"": 33, ""end"": 67, ""label"": ""ADR""}]"
Teori yang diusulkan oleh Albert Einstein telah dipatahkan oleh penemuan baru.,"[{""start"": 26, ""end"": 41, ""label"": ""PER""}]"
Bank Mandiri baru saja merilis laporan tahunan.,[]
Kost berada di lokasi yang sudah ditentukan.,[]
"Daftar penerima meliputi Elon Musk, Michael McDonald, dan Muhammad Hasan Sadikin dari divisi terkait.","[{""start"": 25, ""end"": 34, ""label"": ""PER""}, {""start"": 36, ""end"": 52, ""label"": ""PER""}, {""start"": 58, ""end"": 80, ""label"": ""PER""}]"
Gubernur DKI Jakarta Jenderal Gatot Nurmantyo menyampaikan pernyataan resmi kemarin.,"[{""start"": 21, ""end"": 45, ""label"": ""PER""}]"
Banyak pihak yang setuju dengan analisis Susi Pudjiastuti mengenai krisis ekonomi.,"[{""start"": 41, ""end"": 57, ""label"": ""PER""}]"
Rapat tersebut dihadiri oleh Habib Rizieq Shihab dan R.A. Kartini.,"[{""start"": 29, ""end"": 48, ""label"": ""PER""}, {""start"": 53, ""end"": 65, ""label"": ""PER""}]"
"Putri baru saja pindah ke Perumahan Puri Nirwana Blok G17 No. 31, Palembang.","[{""start"": 0, ""end"": 5, ""label"": ""PER""}, {""start"": 26, ""end"": 75, ""label"": ""ADR""}]"
"Rapat RT akan diadakan di Dusun Karangasem RT 01/RW 03, Kel. Antapani, Kec. Buah Batu, Kab. Sleman.","[{""start"": 26, ""end"": 98, ""label"": ""ADR""}]"
"Paket untuk Joe Biden dikirim ke 194 Wall Drive, London, Inggris.","[{""start"": 12, ""end"": 21, ""label"": ""PER""}, {""start"": 33, ""end"": 64, ""label"": ""ADR""}]"
"Menteri Luar Negeri, Angela Merkel, meresmikan acara tersebut.","[{""start"": 21, ""end"": 34, ""label"": ""PER""}]"
Rapat tersebut dihadiri oleh Boediono dan Susi Pudjiastuti.,"[{""start"": 29, ""end"": 37, ""label"": ""PER""}, {""start"": 42, ""end"": 58, ""label"": ""PER""}]"
GEMPA BUMI GUNCANG WILAYAH SELATAN JAWA.,[]
"Hartono, S.T., M.T. baru saja pindah dari Yayasan Ahmad Dahlan.","[{""start"": 0, ""end"": 19, ""label"": ""PER""}]"
Kami sudah lama menetap di Manado.,[]
"Di antara peserta terdapat Muhammad Ikbal, Nelson Mandela, dan Cut Nyak Dien.","[{""start"": 27, ""end"": 41, ""label"": ""PER""}, {""start"": 43, ""end"": 57, ""label"": ""PER""}, {""start"": 63, ""end"": 76, ""label"": ""PER""}]"
"Direktur Utama, Simone Biles, menyampaikan pernyataan resmi kemarin.","[{""start"": 16, ""end"": 28, ""label"": ""PER""}]"
Nomor kontak Tuan Guru Bajang bisa dihubungi melalui KPK.,"[{""start"": 13, ""end"": 29, ""label"": ""PER""}]"
"Kost berada di Perumahan Grand Wisata Blok G13 No. 27, Makassar.","[{""start"": 15, ""end"": 63, ""label"": ""ADR""}]"
R.M. Said Prawirosoedirdjo resmi menjabat sebagai Hakim Ketua mulai bulan depan.,"[{""start"": 0, ""end"": 26, ""label"": ""PER""}]"
"""Medan adalah prioritas kita,"" kata Sari.","[{""start"": 36, ""end"": 40, ""label"": ""PER""}]"
Nomor kontak yang bisa dihubungi adalah Kompas.,[]
KEBAKARAN HUTAN MELUAS DI KALIMANTAN.,[]
"Menurut Panglima TNI Apriyani Rahayu, kebijakan ini akan segera direvisi.","[{""start"": 21, ""end"": 36, ""label"": ""PER""}]"
Menteri Keuangan RI Jenderal Gatot Nurmantyo menyampaikan pernyataan resmi kemarin.,"[{""start"": 20, ""end"": 44, ""label"": ""PER""}]"
Ia baru saja pindah ke Semarang.,[]
"Menurut Gus Miftah, ""keputusan ini sudah final.""","[{""start"": 8, ""end"": 18, ""label"": ""PER""}]"
Kemarin saya pergi ke Yayasan Ahmad Dahlan untuk urusan pekerjaan.,[]
PEMERINTAH UMUMKAN KEBIJAKAN SUBSIDI BARU.,[]
"Nama Lengkap: Emmanuel Macron
Alamat: Apartemen Gading Nias Residences Tower D Lantai 5, Depok.","[{""start"": 14, ""end"": 29, ""label"": ""PER""}, {""start"": 38, ""end"": 94, ""label"": ""ADR""}]"
"Rumah kost berada di Gg. Melati No. 109A, RT 14/RW 01, Kel. Cihapit, Kec. Cimahi Utara, Makassar, DKI Jakarta, 96526.","[{""start"": 21, ""end"": 116, ""label"": ""ADR""}]"
"Menurut laporan, Paris mengalami peningkatan signifikan.",[]
"Menurut Boyke Dian Nugraha, Sp.OG, kebijakan ini harus segera dievaluasi.","[{""start"": 8, ""end"": 33, ""label"": ""PER""}]"
"Nama: Ir. Djoko Kirmanto, Dipl.HE, Alamat: Jl. Basuki Rahmat No. 157A, RT 14/RW 10, Kel. Gubeng, Depok.","[{""start"": 6, ""end"": 33, ""label"": ""PER""}, {""start"": 43, ""end"": 102, ""label"": ""ADR""}]"
BUNGA HADIR DALAM ACARA ITU BELUM DIKONFIRMASI PANITIA.,[]
"Peserta pelatihan meliputi Ahmad Dahlan, Apriyani Rahayu, dan Cak Lontong dari kantor cabang.","[{""start"": 27, ""end"": 39, ""label"": ""PER""}, {""start"": 41, ""end"": 56, ""label"": ""PER""}, {""start"": 62, ""end"": 73, ""label"": ""PER""}]"
"LEONARDO DICAPRIO TINGGAL DI JALAN CENDRAWASIH, RT 17/RW 11, KEL. SUKAJADI, JAKARTA.","[{""start"": 0, ""end"": 17, ""label"": ""PER""}, {""start"": 29, ""end"": 83, ""label"": ""ADR""}]"
"""SAYA AKAN SEGERA BERANGKAT,"" UJAR YANTI.","[{""start"": 35, ""end"": 40, ""label"": ""PER""}]"
"Budi Gunadi Sadikin menegaskan, ""kami akan terus berusaha.""","[{""start"": 0, ""end"": 19, ""label"": ""PER""}]"
"Jaksa Agung, Raden Adjeng Kartini, menyampaikan pernyataan resmi kemarin.","[{""start"": 13, ""end"": 33, ""label"": ""PER""}]"
"Suharto baru saja pindah ke Jl. Imam Bonjol, RT 14/RW 12, Kel. Cihapit, Kec. Cimahi Utara, Makassar, Jawa Barat, 11620.","[{""start"": 0, ""end"": 7, ""label"": ""PER""}, {""start"": 28, ""end"": 118, ""label"": ""ADR""}]"
"Yang, menurut laporan itu, akan segera diperbarui.",[]
Rapat tersebut dihadiri oleh D'Angelo dan Sandiaga Uno.,"[{""start"": 29, ""end"": 37, ""label"": ""PER""}, {""start"": 42, ""end"": 54, ""label"": ""PER""}]"
Kami sedang menunggu tanda tangan dari Ahmad Dahlan untuk mencairkan dana.,"[{""start"": 39, ""end"": 51, ""label"": ""PER""}]"
"Penerima: Faisal Rahman, S.E., Ak., CA., Tujuan: Gang Cempaka Putih No. 3B, RT 11/RW 10, Desa Sukamaju, Denpasar","[{""start"": 10, ""end"": 39, ""label"": ""PER""}, {""start"": 49, ""end"": 112, ""label"": ""ADR""}]"
"Tim tersebut beranggotakan John Doe, Steve Jobs, dr. Tirta Mandira Hudhi, M.Ked., dan Lisa.","[{""start"": 27, ""end"": 35, ""label"": ""PER""}, {""start"": 37, ""end"": 47, ""label"": ""PER""}, {""start"": 49, ""end"": 80, ""label"": ""PER""}, {""start"": 86, ""end"": 90, ""label"": ""PER""}]"
Saya melihat Ahmad Dhani sedang makan siang di kantin.,"[{""start"": 13, ""end"": 24, ""label"": ""PER""}]"
RAPAT DEWAN DIREKSI BESOK AKAN DIPIMPIN OLEH WATI.,"[{""start"": 45, ""end"": 49, ""label"": ""PER""}]"
CEO Tesla Evry Pramudya meresmikan acara tersebut.,"[{""start"": 10, ""end"": 23, ""label"": ""PER""}]"
SAYA TINGGAL DI KUALA LUMPUR SEJAK KECIL.,[]
Kami bukan bagian dari agenda rapat kali ini.,[]
"Joko Widodo baru saja pindah ke Gg. Sudirman No. 167B, RT 07/RW 09, Kel. Sukajadi, Kec. Buah Batu, Balikpapan, Sumatera Utara, 62172.","[{""start"": 0, ""end"": 11, ""label"": ""PER""}, {""start"": 32, ""end"": 132, ""label"": ""ADR""}]"
"Kantor kami beralamat di Jl. Basuki Rahmat, RT 04/RW 06, Desa Cibogo, Malang.","[{""start"": 25, ""end"": 76, ""label"": ""ADR""}]"
"Ia baru saja pindah ke 849 Lincoln Avenue, Toronto, Kanada.","[{""start"": 23, ""end"": 58, ""label"": ""ADR""}]"
Anne-Marie Laurent adalah gubernur jawa barat.,"[{""start"": 0, ""end"": 18, ""label"": ""PER""}]"
"Surat untuk Isyana Sarasvati dialamatkan ke PO Box 6215, Bandung 76158.","[{""start"": 12, ""end"": 28, ""label"": ""PER""}, {""start"": 44, ""end"": 70, ""label"": ""ADR""}]"
Nomor kontak yang bisa dihubungi adalah Tokyo.,[]
Rapat tersebut dihadiri oleh Muhammad Ikbal dan D'Angelo.,"[{""start"": 29, ""end"": 43, ""label"": ""PER""}, {""start"": 48, ""end"": 56, ""label"": ""PER""}]"
Ahmad Yani adalah salah satu tokoh penting dalam sejarah.,"[{""start"": 0, ""end"": 10, ""label"": ""PER""}]"
Halo semua diundang untuk hadir dalam acara tersebut.,[]
"Rumah beliau berada di Jalan Cempaka Putih No. 100B, RT 17/RW 19, Kel. Antapani, Manado.","[{""start"": 23, ""end"": 87, ""label"": ""ADR""}]"
Jaksa Agung Sergey Brin menyampaikan pernyataan resmi kemarin.,"[{""start"": 12, ""end"": 23, ""label"": ""PER""}]"
"Jacinda Ardern, selaku Jaksa Agung, hadir dalam konferensi pers.","[{""start"": 0, ""end"": 14, ""label"": ""PER""}]"
KAMI SUDAH LAMA MENETAP DI BANDUNG.,[]
Kantor pusatnya berlokasi di Universitas Diponegoro.,[]
"Surat untuk Reza Rahadian dialamatkan ke Jalan Melati No. 108, RT 02/RW 16, Kel. Gubeng, Kec. Sukasari, Jakarta, DKI Jakarta, 51574.","[{""start"": 12, ""end"": 25, ""label"": ""PER""}, {""start"": 41, ""end"": 131, ""label"": ""ADR""}]"
"Ia baru saja pindah ke 842 Bridge Avenue, Berlin, Jerman.","[{""start"": 23, ""end"": 56, ""label"": ""ADR""}]"
Surat itu dikirim oleh Lionel Messi di Bank Mandiri minggu lalu.,"[{""start"": 23, ""end"": 35, ""label"": ""PER""}]"
Teori yang diusulkan oleh Reza Rahadian telah dipatahkan oleh penemuan baru.,"[{""start"": 26, ""end"": 39, ""label"": ""PER""}]"
Banyak pihak yang setuju dengan analisis Ir. Soekarno mengenai krisis ekonomi.,"[{""start"": 41, ""end"": 53, ""label"": ""PER""}]"
"Menurut laporan, Semarang mengalami peningkatan signifikan.",[]
Buku terbaru itu ditulis oleh Lisa dan diterbitkan bulan lalu.,"[{""start"": 30, ""end"": 34, ""label"": ""PER""}]"
Sri Mulyani berangkat ke kantor pagi ini.,"[{""start"": 0, ""end"": 11, ""label"": ""PER""}]"
Kemarin saya bertemu dengan Gus Miftah di stasiun.,"[{""start"": 28, ""end"": 38, ""label"": ""PER""}]"
Anies Baswedan menghadiri rapat mengenai Kementerian Keuangan pagi ini.,"[{""start"": 0, ""end"": 14, ""label"": ""PER""}]"
"KTP atas nama Jacinda Ardern beralamat di Perumahan Grand Wisata Blok F3 No. 19, Semarang.","[{""start"": 14, ""end"": 28, ""label"": ""PER""}, {""start"": 42, ""end"": 89, ""label"": ""ADR""}]"
"""Terima kasih atas dukungannya,"" ucap Bambang Permadi Soemantri Brodjonegoro, M.Sc. sambil tersenyum.","[{""start"": 38, ""end"": 83, ""label"": ""PER""}]"
Tolong sampaikan pesan ini kepada Eko secepatnya.,"[{""start"": 34, ""end"": 37, ""label"": ""PER""}]"
"Silakan kirim paket ke Jl. Merdeka No. 199A, Denpasar.","[{""start"": 23, ""end"": 53, ""label"": ""ADR""}]"
Ia baru saja pindah ke Surabaya.,[]
"KTP menunjukkan alamat di 694 Kennedy Drive, Amsterdam, Belanda.","[{""start"": 26, ""end"": 63, ""label"": ""ADR""}]"
"Rumah kost berada di Gg. Gatot Subroto No. 36B, RT 16/RW 03, Kel. Menteng, Tangerang.","[{""start"": 21, ""end"": 84, ""label"": ""ADR""}]"
Surat itu dikirim oleh Eko di Denpasar minggu lalu.,"[{""start"": 23, ""end"": 26, ""label"": ""PER""}]"
"SURAT ITU DIKIRIM OLEH IR. DJOKO KIRMANTO, DIPL.HE DI KEMENTERIAN KEUANGAN MINGGU LALU.","[{""start"": 23, ""end"": 50, ""label"": ""PER""}]"
Hakim Ketua Rian menyampaikan pernyataan resmi kemarin.,"[{""start"": 12, ""end"": 16, ""label"": ""PER""}]"
Jangan lupa follow @borisjohnson untuk info terkini.,"[{""start"": 20, ""end"": 32, ""label"": ""PER""}]"
Kami sudah lama menetap di DI Yogyakarta.,[]
"Ia baru saja pindah ke Gang Cendrawasih No. 89, RT 11/RW 18, Kel. Gubeng, Kec. Menteng, Denpasar, Jawa Barat, 21801.","[{""start"": 23, ""end"": 115, ""label"": ""ADR""}]"
"Tim tersebut beranggotakan Prof. Dr. Anies Baswedan, M.P.P., Nyoman, Imam Bonjol, dan Jean-Luc Picard.","[{""start"": 27, ""end"": 59, ""label"": ""PER""}, {""start"": 61, ""end"": 67, ""label"": ""PER""}, {""start"": 69, ""end"": 80, ""label"": ""PER""}, {""start"": 86, ""end"": 101, ""label"": ""PER""}]"
"Menurut laporan, Rp1.000.000 mengalami peningkatan signifikan.",[]
"Yang hadir dalam pertemuan itu adalah Cut Nyak Dien, Barack Obama, dan Greysia Polii.","[{""start"": 38, ""end"": 51, ""label"": ""PER""}, {""start"": 53, ""end"": 65, ""label"": ""PER""}, {""start"": 71, ""end"": 84, ""label"": ""PER""}]"
"Rapat RT akan diadakan di Gang Ahmad Yani No. 191A, RT 04/RW 07, Kel. Sukajadi, Kec. Coblong, Tangerang, Bali, 53752.","[{""start"": 26, ""end"": 116, ""label"": ""ADR""}]"
Ia baru saja pindah ke Sydney.,[]
"Menurut Wawan, ""keputusan ini sudah final.""","[{""start"": 8, ""end"": 13, ""label"": ""PER""}]"
"Sesuai catatan sipil, domisili tercatat di Jalan Imam Bonjol No. 122B, RT 11/RW 20, Kel. Antapani, Makassar.","[{""start"": 43, ""end"": 107, ""label"": ""ADR""}]"
"KTP atas nama Jenderal Gatot Nurmantyo beralamat di Gang Cendrawasih No. 98, RT 08/RW 02, Kel. Cihapit, Tangerang.","[{""start"": 14, ""end"": 38, ""label"": ""PER""}, {""start"": 52, ""end"": 113, ""label"": ""ADR""}]"
"Bambang Pamungkas baru saja pindah ke Dusun Krajan RT 18/RW 15, Kel. Antapani, Kec. Menteng, Kab. Bogor.","[{""start"": 0, ""end"": 17, ""label"": ""PER""}, {""start"": 38, ""end"": 103, ""label"": ""ADR""}]"
